====================================================================================
                             RAISED FLOOR LAYOUT REPORT                             
====================================================================================
Generated on: 2025-11-17 18:50:17


------------------------------------------------------------------------------------
                                     TILES LIST                                     
------------------------------------------------------------------------------------
ID    | Center X (mm)     | Center Y (mm)     | Width (mm)     | Length (mm)    | Is Cut  
94    | 5600.00           | 5000.00           | 600.00         | 600.00         | No      
95    | 6200.00           | 5000.00           | 600.00         | 600.00         | No      
96    | 6800.00           | 5000.00           | 600.00         | 600.00         | No      
97    | 7400.00           | 5000.00           | 600.00         | 600.00         | No      
98    | 8000.00           | 5000.00           | 600.00         | 600.00         | No      
99    | 8600.00           | 5000.00           | 600.00         | 600.00         | No      
100   | 9200.00           | 5000.00           | 600.00         | 600.00         | No      
101   | 9644.92           | 5000.00           | 289.83         | 600.00         | Yes     
102   | 832.13            | 5600.00           | 535.73         | 600.00         | Yes     
103   | 1400.00           | 5600.00           | 600.00         | 600.00         | No      
104   | 2000.00           | 5600.00           | 600.00         | 600.00         | No      
105   | 2600.00           | 5600.00           | 600.00         | 600.00         | No      
106   | 3200.00           | 5600.00           | 600.00         | 600.00         | No      
107   | 3800.00           | 5600.00           | 600.00         | 600.00         | No      
108   | 4400.00           | 5600.00           | 600.00         | 600.00         | No      
109   | 5000.00           | 5600.00           | 600.00         | 600.00         | No      
110   | 5600.00           | 5600.00           | 600.00         | 600.00         | No      
111   | 6200.00           | 5600.00           | 600.00         | 600.00         | No      
112   | 6800.00           | 5600.00           | 600.00         | 600.00         | No      
113   | 7400.00           | 5600.00           | 600.00         | 600.00         | No      
114   | 8000.00           | 5600.00           | 600.00         | 600.00         | No      
115   | 8600.00           | 5600.00           | 600.00         | 600.00         | No      
116   | 9200.00           | 5600.00           | 600.00         | 600.00         | Yes     
117   | 9612.78           | 5572.14           | 225.56         | 544.29         | Yes     
118   | 956.46            | 6200.00           | 287.08         | 600.00         | Yes     
119   | 1400.00           | 6200.00           | 600.00         | 600.00         | No      
120   | 2000.00           | 6200.00           | 600.00         | 600.00         | No      
121   | 2600.00           | 6200.00           | 600.00         | 600.00         | No      
122   | 3200.00           | 6200.00           | 600.00         | 600.00         | No      
123   | 3800.00           | 6200.00           | 600.00         | 600.00         | No      
124   | 4400.00           | 6200.00           | 600.00         | 600.00         | No      
125   | 5000.00           | 6200.00           | 600.00         | 600.00         | No      
126   | 5600.00           | 6200.00           | 600.00         | 600.00         | No      
127   | 6200.00           | 6200.00           | 600.00         | 600.00         | No      
128   | 6800.00           | 6200.00           | 600.00         | 600.00         | No      
129   | 7400.00           | 6200.00           | 600.00         | 600.00         | No      
130   | 8000.00           | 6200.00           | 600.00         | 600.00         | No      
131   | 8600.00           | 6200.00           | 600.00         | 600.00         | No      
132   | 9188.46           | 6200.00           | 576.91         | 600.00         | Yes     
133   | 1400.00           | 6800.00           | 600.00         | 600.00         | Yes     
134   | 2000.00           | 6800.00           | 600.00         | 600.00         | No      
135   | 2600.00           | 6800.00           | 600.00         | 600.00         | No      
136   | 3200.00           | 6800.00           | 600.00         | 600.00         | No      
137   | 3800.00           | 6800.00           | 600.00         | 600.00         | No      
138   | 4400.00           | 6800.00           | 600.00         | 600.00         | No      
139   | 5000.00           | 6800.00           | 600.00         | 600.00         | No      
140   | 5600.00           | 6800.00           | 600.00         | 600.00         | No      
141   | 6200.00           | 6800.00           | 600.00         | 600.00         | No      
142   | 6800.00           | 6800.00           | 600.00         | 600.00         | No      
143   | 7400.00           | 6800.00           | 600.00         | 600.00         | No      
144   | 8000.00           | 6800.00           | 600.00         | 600.00         | No      
145   | 8600.00           | 6800.00           | 600.00         | 600.00         | No      
146   | 9064.13           | 6800.00           | 328.26         | 600.00         | Yes     
147   | 1505.11           | 7400.00           | 389.78         | 600.00         | Yes     
148   | 2000.00           | 7400.00           | 600.00         | 600.00         | No      
149   | 2600.00           | 7400.00           | 600.00         | 600.00         | No      
150   | 3200.00           | 7400.00           | 600.00         | 600.00         | No      
151   | 3800.00           | 7400.00           | 600.00         | 600.00         | No      
152   | 4400.00           | 7400.00           | 600.00         | 600.00         | No      
153   | 5000.00           | 7400.00           | 600.00         | 600.00         | No      
154   | 5600.00           | 7400.00           | 600.00         | 600.00         | No      
155   | 6200.00           | 7400.00           | 600.00         | 600.00         | No      
156   | 6800.00           | 7400.00           | 600.00         | 600.00         | No      
157   | 7400.00           | 7400.00           | 600.00         | 600.00         | No      
158   | 8000.00           | 7400.00           | 600.00         | 600.00         | No      
159   | 8600.00           | 7400.00           | 600.00         | 600.00         | Yes     
160   | 8939.81           | 7196.06           | 79.61          | 192.11         | Yes     
161   | 1629.43           | 7870.28           | 141.14         | 340.57         | Yes     
162   | 2000.00           | 8000.00           | 600.00         | 600.00         | Yes     
163   | 2600.00           | 8000.00           | 600.00         | 600.00         | No      
164   | 3200.00           | 8000.00           | 600.00         | 600.00         | No      
165   | 3800.00           | 8000.00           | 600.00         | 600.00         | No      
166   | 4400.00           | 8000.00           | 600.00         | 600.00         | No      
167   | 5000.00           | 8000.00           | 600.00         | 600.00         | No      
168   | 5600.00           | 8000.00           | 600.00         | 600.00         | No      
169   | 6200.00           | 8000.00           | 600.00         | 600.00         | No      
170   | 6800.00           | 8000.00           | 600.00         | 600.00         | No      
171   | 7400.00           | 8000.00           | 600.00         | 600.00         | No      
172   | 8000.00           | 8000.00           | 600.00         | 600.00         | No      
173   | 8515.48           | 8000.00           | 430.97         | 600.00         | Yes     
174   | 2053.76           | 8455.43           | 492.49         | 310.86         | Yes     
175   | 2600.00           | 8579.75           | 600.00         | 559.50         | Yes     
176   | 3200.00           | 8600.00           | 600.00         | 600.00         | Yes     
177   | 3800.00           | 8600.00           | 600.00         | 600.00         | No      
178   | 4400.00           | 8600.00           | 600.00         | 600.00         | No      
179   | 5000.00           | 8600.00           | 600.00         | 600.00         | No      
180   | 5600.00           | 8600.00           | 600.00         | 600.00         | No      
181   | 6200.00           | 8600.00           | 600.00         | 600.00         | No      
182   | 6800.00           | 8600.00           | 600.00         | 600.00         | No      
183   | 7400.00           | 8600.00           | 600.00         | 600.00         | Yes     
184   | 8000.00           | 8515.48           | 600.00         | 430.97         | Yes     
185   | 8391.16           | 8391.16           | 182.32         | 182.32         | Yes     
186   | 3248.86           | 9004.08           | 502.28         | 208.15         | Yes     
187   | 3800.00           | 9128.40           | 600.00         | 456.80         | Yes     
188   | 4400.00           | 9200.00           | 600.00         | 600.00         | Yes     
189   | 5000.00           | 9200.00           | 600.00         | 600.00         | No      
190   | 5600.00           | 9200.00           | 600.00         | 600.00         | Yes     
